munthaID;munthaID;AscID;Prediction
1;1;;<p>तपाईंको यो वर्षको चिनामा मुन्था पहिलो घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। पहिलो घरमा मुन्था हुनु एकदमै राम्रो मानिन्छ। यसले तपाईंलाई सबैतिरबाट सफलता दिलाउने, शत्रुहरूलाई हराउने र मनमा खुसी दिने गर्छ। यो वर्ष तपाईंको प्रगति राम्रो हुनेछ। तर याद राख्नुहोला, वर्षभरि सबै समय एकैनाशको हुँदैन। ग्रहहरूको दशा अनुसार कहिलेकाहीँ केही उतारचढाव पनि आउन सक्छ। त्यसैले हामीले यहाँ विभिन्न ग्रहहरूको दशा अवधिको विवरण पनि दिएका छौँ।</p>
2;2;;<p>तपाईंको यो वर्षको चिनामा मुन्था दोस्रो घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। दोस्रो घरमा मुन्था भएकाले धन-सम्पत्तिको हिसाबले यो वर्ष राम्रो छ। नातागोताबाट मानसम्मान मिल्ने र मिठो खानपानको योग छ। आम्दानी बढ्नाले तपाईंको आर्थिक स्थिति बलियो हुनेछ। तर याद राख्नुहोला, ग्रहहरूको दशा अनुसार समय-समयमा केही चुनौती पनि आउन सक्छन्। सबै कुरा बुझ्नको लागि यहाँ दिएको ग्रहहरूको दशा तालिका पनि हेर्नुहोला।</p>
3;3;;<p>तपाईंको यो वर्षको चिनामा मुन्था तेस्रो घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। तेस्रो घरमा मुन्था हुँदा तपाईंमा छुट्टै हिम्मत र पराक्रम बढ्नेछ। दाजुभाइ वा दिदीबहिनीबाट राम्रो सहयोग मिल्नेछ र सोचेका कामहरू सफल हुनेछन्। स्वास्थ्य पनि राम्रो रहनेछ। तर जीवन सुख र दुःखको मिश्रण हो, त्यसैले केही समय प्रतिकूल पनि हुन सक्छ। हामीले यहाँ ग्रहहरूको दशा अवधि दिएका छौँ, जसले तपाईंलाई कुन समय कस्तो रहन्छ भनेर बुझ्न सघाउनेछ।</p>
4;4;;<p>तपाईंको यो वर्षको चिनामा मुन्था चौथो घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। चौथो घरमा मुन्था हुनु अलि चुनौतीपूर्ण हुन सक्छ। मनमा अलि अशान्ति हुने, शत्रुको डर लाग्ने वा घरपरिवारमा सानोतिनो मनमुटाव हुन सक्छ। जग्गाजमिनको काममा पनि अलि बाधा आउन सक्छ। यद्यपि, वर्षभरि नै नराम्रो हुन्छ भन्ने होइन। ग्रहहरूको राम्रो दशा चलेको बेला शुभ फल पनि मिल्छ। त्यसैले यहाँ दिएको दशा विवरणलाई राम्ररी ध्यान दिनुहोला।</p>
5;5;;<p>तपाईंको यो वर्षको चिनामा मुन्था पाँचौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। पाँचौँ घरमा मुन्था भएकाले सन्तानबाट सुख मिल्नेछ। पढाइ र बौद्धिक काममा राम्रो सफलता पाइनेछ। यो वर्ष तपाईंका लागि प्रगतिको राम्रो अवसर लिएर आउनेछ। तर ग्रहहरूको अवस्था अनुसार कहिलेकाहीँ केही बाधाहरू पनि आउन सक्छन्। त्यसैले हामीले यहाँ ग्रहहरूको दशा अवधि दिएका छौँ, जसले तपाईंलाई प्रतिकूल समयमा सचेत रहन मद्दत गर्नेछ।</p>
6;6;;<p>तपाईंको यो वर्षको चिनामा मुन्था छैटौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। छैटौँ घरमा मुन्था हुँदा स्वास्थ्यमा अलि समस्या देखिन सक्छ वा शत्रुहरूको डर हुन सक्छ। केही मानसिक तनाव वा काममा अवरोध आउने सम्भावना भएकाले सावधानी अपनाउनुहोला। तर नआत्तिनुहोस्, सधैँ यस्तो रहँदैन। ग्रहहरूको अनुकूल दशा भएको बेला राहत मिल्नेछ। यहाँ दिएको दशाको विवरणले तपाईंलाई कुन समय कस्तो रहन्छ भनेर बुझ्न सजिलो बनाउनेछ।</p>
7;7;;<p>तपाईंको यो वर्षको चिनामा मुन्था सातौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। सातौँ घरको मुन्थाले व्यापार-व्यवसायमा फाइदा पुर्याउँछ। नयाँ सम्बन्ध जोडिने वा विवाहको कुरा अघि बढ्ने सम्भावना छ। यात्राको योग छ र जीवनसाथीको साथ र सहयोग पाइनेछ। तर जीवनमा उतारचढाव आइरहन्छन्, त्यसैले प्रतिकूल ग्रहहरूको समयमा अलि सतर्क रहनुपर्छ। यहाँ दिएको ग्रहहरूको दशा अवधिले तपाईंलाई उचित योजना बनाउन सहयोग गर्नेछ।</p>
8;8;;<p>तपाईंको यो वर्षको चिनामा मुन्था आठौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। आठौँ घरमा मुन्था हुनु त्यति राम्रो मानिंदैन। यसले स्वास्थ्यमा अचानक समस्या ल्याउने वा अनावश्यक खर्च बढाउने हुन सक्छ। काममा अलि बढी बाधा-अड्चन र मानसिक तनाव हुन सक्ने भएकाले धैर्य राख्नुहोला। तर सधैँ यस्तै रहन्छ भन्ने छैन। ग्रहहरूको अनुकूल समय पनि आउनेछ। त्यसको जानकारीका लागि यहाँ दिएको वार्षिक मुद्दा दशाको विवरण हेर्नुहोला।</p>
9;9;;<p>तपाईंको यो वर्षको चिनामा मुन्था नवौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। नवौँ घरमा मुन्था हुनु भनेको भाग्यले साथ दिनु हो। धर्म-कर्ममा रुचि बढ्नेछ र लामो दुरीको यात्रा हुन सक्छ। पेसा वा व्यवसायमा राम्रो प्रगति हुनेछ। तर याद राख्नुहोला, भाग्यले मात्र सबै हुँदैन, ग्रहहरूको दशा पनि उत्तिकै महत्त्वपूर्ण हुन्छ। प्रतिकूल दशामा केही समस्या आउन सक्छ। यहाँ दिएको ग्रहहरूको दशा तालिकाले तपाईंलाई थप स्पष्ट पार्नेछ।</p>
10;10;;<p>तपाईंको यो वर्षको चिनामा मुन्था दशौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। दशौँ घरमा मुन्था भएकाले यो वर्ष तपाईंको करिअर र समाजमा प्रभाव बढ्नेछ। जागिरमा पदोन्नति वा सरकारी काममा सफलता मिल्ने योग छ। समाजमा मानसम्मान पनि बढ्नेछ। यद्यपि, वर्षभरि नै सबै कुरा राम्रो मात्र हुँदैन। बीचबीचमा केही चुनौती पनि आउन सक्छन्। त्यसैले यहाँ दिएको ग्रहहरूको दशा समयलाई पनि ध्यानमा राख्नुहोला।</p>
11;11;;<p>तपाईंको यो वर्षको चिनामा मुन्था एघारौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। एघारौँ घरमा मुन्था हुनु भनेको आम्दानीका नयाँ बाटोहरू खुल्नु र चिताएको कुरा पुग्नु हो। साथीभाइ र इष्टमित्रबाट राम्रो सहयोग मिल्नेछ। सबैतिरबाट लाभ हुने देखिन्छ। तर जीवनमा सुख र दुःख सँगसँगै आउँछन्। केही प्रतिकूल समयमा भने सावधानी अपनाउनुपर्ने हुन्छ। त्यसको जानकारीका लागि यहाँ दिइएको वार्षिक दशा अवधिलाई हेर्नुहोला।</p>
12;12;;<p>तपाईंको यो वर्षको चिनामा मुन्था बाह्रौँ घरमा छ। मुन्था भनेको तपाईंको उमेर अनुसार यो वर्ष कुन घर बढी सक्रिय छ भनेर हेर्ने एउटा तरिका हो। बाह्रौँ घरको मुन्थाले खर्च धेरै बढाउन सक्छ, जुन तपाईंको नियन्त्रण बाहिर जान सक्छ। आर्थिक रूपमा यो समय अलि गाह्रो हुन सक्छ र केही मानसिक अशान्ति वा शारीरिक कमजोरी महसुस हुन सक्छ। काममा पनि केही असन्तुष्टि रहला। तर चिन्ता नगर्नुहोस्, अनुकूल ग्रहहरूको पालोमा सुधार आउनेछ। यहाँ दिएको ग्रहहरूको दशा विवरणले तपाईंलाई समय चिन्न मद्दत गर्नेछ।</p>
